subject,timepoint,ROI,BOLD signal
0,0.0,IPS,0.5134331027255622
0,0.10101010101010101,IPS,0.4673192417779404
0,0.20202020202020202,IPS,0.3466994181748567
0,0.30303030303030304,IPS,0.1743253364634878
0,0.40404040404040403,IPS,-0.03150488016910563
0,0.5050505050505051,IPS,-0.2562270035354819
0,0.6060606060606061,IPS,-0.4883952973116157
0,0.7070707070707071,IPS,-0.7191573195744496
0,0.8080808080808081,IPS,-0.9418066614634555
0,0.9090909090909091,IPS,-1.1514029366510206
0,1.0101010101010102,IPS,-1.3444497236881456
0,1.1111111111111112,IPS,-1.518622377570151
0,1.2121212121212122,IPS,-1.67253868899209
0,1.3131313131313131,IPS,-1.8055662982104401
0,1.4141414141414141,IPS,-1.9176615814829625
0,1.5151515151515151,IPS,-2.0092354360744107
0,1.6161616161616161,IPS,-2.08104200743506
0,1.7171717171717171,IPS,-2.1340869405146083
0,1.8181818181818181,IPS,-2.1695522060653167
0,1.9191919191919191,IPS,-2.1887349608375932
0,2.0202020202020203,IPS,-2.1929982553616347
0,2.121212121212121,IPS,-2.183731711206828
0,2.2222222222222223,IPS,-2.1623205570743362
0,2.323232323232323,IPS,-2.1301216449526867
0,2.4242424242424243,IPS,-2.0884452683683232
0,2.525252525252525,IPS,-2.038541778455946
0,2.6262626262626263,IPS,-1.9815921436331876
0,2.727272727272727,IPS,-1.918701728137007
0,2.8282828282828283,IPS,-1.8508966762342607
0,2.929292929292929,IPS,-1.7791223848927638
0,3.0303030303030303,IPS,-1.7042436301362438
0,3.131313131313131,IPS,-1.6270459829948583
0,3.2323232323232323,IPS,-1.5482382114643864
0,3.3333333333333335,IPS,-1.4684554165662376
0,3.4343434343434343,IPS,-1.3882626946472267
0,3.5353535353535355,IPS,-1.3081591555107643
0,3.6363636363636362,IPS,-1.2285821577338583
0,3.7373737373737375,IPS,-1.1499116493844006
0,3.8383838383838382,IPS,-1.0724745249952614
0,3.9393939393939394,IPS,-0.9965489286705633
0,4.040404040404041,IPS,-0.9223684491117481
0,4.141414141414141,IPS,-0.8501261656042989
0,4.242424242424242,IPS,-0.7799785149883607
0,4.343434343434343,IPS,-0.7120489586834994
0,4.444444444444445,IPS,-0.6464314362395105
0,4.545454545454545,IPS,-0.5831935978918636
0,4.646464646464646,IPS,-0.5223798134276578
0,4.747474747474747,IPS,-0.4640139585015257
0,4.848484848484849,IPS,-0.4081019825400828
0,4.94949494949495,IPS,-0.35463426467512577
0,5.05050505050505,IPS,-0.30358776586671493
0,5.151515151515151,IPS,-0.25492798661755217
0,5.252525252525253,IPS,-0.20861074052487438
0,5.353535353535354,IPS,-0.16458375443774487
0,5.454545454545454,IPS,-0.12278810624766684
0,5.555555555555555,IPS,-0.08315951139061167
0,5.656565656565657,IPS,-0.04562946902270826
0,5.757575757575758,IPS,-0.01012627858655496
0,5.858585858585858,IPS,0.023424062858822536
0,5.959595959595959,IPS,0.05509707258851443
0,6.0606060606060606,IPS,0.08496909395611957
0,6.161616161616162,IPS,0.11311669894927573
0,6.262626262626262,IPS,0.13961617309808744
0,6.363636363636363,IPS,0.164543074811756
0,6.4646464646464645,IPS,0.18797186175217057
0,6.565656565656566,IPS,0.20997557737934547
0,6.666666666666667,IPS,0.230625591316716
0,6.767676767676767,IPS,0.24999138768021387
0,6.8686868686868685,IPS,0.2681403959905451
0,6.96969696969697,IPS,0.28513785974096806
0,7.070707070707071,IPS,0.30104673812169497
0,7.171717171717171,IPS,0.31592763680593966
0,7.2727272727272725,IPS,0.32983876408131524
0,7.373737373737374,IPS,0.34283590896381305
